hangul,kanji,font0_slot_index,font0_page,font0_u0,font0_v0,font1_slot_index,font1_page,font1_u0,font1_v0,code_hex_font0,code_hex_font1
뗀,得,2101,1,0.571568,0.395701,1203,11,0.161212,0.403029,0x00E5BE97,0x00E5BE97
뗄,徳,2102,1,0.593552,0.395701,1204,11,0.241817,0.403029,0x00E5BEB3,0x00E5BEB3
뗌,特,2104,1,0.637518,0.395701,1205,11,0.322423,0.403029,0x00E789B9,0x00E789B9
뗍,督,2105,1,0.659502,0.395701,1206,11,0.403029,0.403029,0x00E79DA3,0x00E79DA3
뗏,毒,2108,1,0.725452,0.395701,1207,11,0.483635,0.403029,0x00E6AF92,0x00E6AF92
뗐,独,2109,1,0.747435,0.395701,1208,11,0.56424,0.403029,0x00E78BAC,0x00E78BAC
뗑,読,2110,1,0.769419,0.395701,1209,11,0.644846,0.403029,0x00E8AAAD,0x00E8AAAD
뗘,凸,2113,1,0.835369,0.395701,1210,11,0.725452,0.403029,0x00E587B8,0x00E587B8
뗬,突,2114,1,0.857352,0.395701,1211,11,0.806058,0.403029,0x00E7AA81,0x00E7AA81
또,飢,489,0,0.747435,0.593552,258,4,0.403029,0.806058,0x00E9A3A2,0x00E9A3A2
똑,拘,867,0,0.153884,0.791402,483,6,0.161212,0.403029,0x00E68B98,0x00E68B98
똔,届,2116,1,0.901319,0.395701,1212,11,0.886663,0.403029,0x00E5B18A,0x00E5B18A
똘,呑,2130,1,0.219834,0.417684,1213,11,0,0.483635,0x00E59191,0x00E59191
똥,曇,2131,1,0.241817,0.417684,1214,11,0.080606,0.483635,0x00E69B87,0x00E69B87
똬,鈍,2132,1,0.263801,0.417684,1215,11,0.161212,0.483635,0x00E9888D,0x00E9888D
똴,那,2134,1,0.307767,0.417684,1216,11,0.241817,0.483635,0x00E982A3,0x00E982A3
뙈,内,2135,1,0.329751,0.417684,1217,11,0.322423,0.483635,0x00E58685,0x00E58685
뙤,凪,2137,1,0.373718,0.417684,1218,11,0.403029,0.483635,0x00E587AA,0x00E587AA
뙨,謎,2139,1,0.417684,0.417684,1219,11,0.483635,0.483635,0x00E8AC8E,0x00E8AC8E
뚜,縄,2145,1,0.549585,0.417684,1220,11,0.56424,0.483635,0x00E7B884,0x00E7B884
뚝,南,2147,1,0.593552,0.417684,1221,11,0.644846,0.483635,0x00E58D97,0x00E58D97
뚠,軟,2149,1,0.637518,0.417684,1222,11,0.725452,0.483635,0x00E8BB9F,0x00E8BB9F
뚤,難,2150,1,0.659502,0.417684,1223,11,0.806058,0.483635,0x00E99BA3,0x00E99BA3
뚫,作,1019,0,0.527601,0.857352,572,7,0.56424,0,0x00E4BD9C,0x00E4BD9C
뚬,汝,2151,1,0.681485,0.417684,1224,11,0.886663,0.483635,0x00E6B19D,0x00E6B19D
뚱,二,2152,1,0.703469,0.417684,1225,11,0,0.56424,0x00E4BA8C,0x00E4BA8C
뛔,弐,2154,1,0.747435,0.417684,1226,11,0.080606,0.56424,0x00E5BC90,0x00E5BC90
뛰,倦,740,0,0.329751,0.725452,411,5,0.161212,0.886663,0x00E580A6,0x00E580A6
뛴,匂,2156,1,0.791402,0.417684,1227,11,0.161212,0.56424,0x00E58C82,0x00E58C82
뛸,賑,2157,1,0.813385,0.417684,1228,11,0.241817,0.56424,0x00E8B391,0x00E8B391
뜀,肉,2158,1,0.835369,0.417684,1229,11,0.322423,0.56424,0x00E88289,0x00E88289
뜁,虹,2159,1,0.857352,0.417684,1230,11,0.403029,0.56424,0x00E899B9,0x00E899B9
